maybe you've thought about them , too .	所以 , 你知道 , 很棒 。
this is not a real incision .	這很棒 。
because the data just doesn't lie .	但 , 很棒 。
that's what broke my heart .	這樣 。
but there's an important caveat .	但 , 但我們有大的 。
so to do that , it's easy .	所以 , 所以 , 這樣 。
you're very happy about this part .	你很棒 。
it didn't exactly work out that way .	很棒 。
or how about 'ball' ? "	說: 「 嗎 ?
you know , i bet you are too .	所以 , 你不不想 。
it's a difficult place to work in .	很棒 。
who is going to take care of my child ?	很棒 ?
why do you feel sorry for them ?	你想想做 ?
most girls end up pregnant .	很棒 。
your parents were peaceful people .	所以 , 你要做什麼 。
let's talk about a few of them .	所以 , 說: 「 這樣 。
that's power if i ever saw it .	這是我在我要做什麼 。
i witnessed killing . . .	我很棒 。
but it hasn't always been easy .	但 , 但 , 但很棒 。
that's the operative word .	這很棒 。
now , the recession .	所以 , 很棒 。
the mechanism isn't clear .	我很棒 。
a terrorist attack .	基本上 。
they hoped that other people would do so .	他們要做什麼 。
it's on this side of the brain .	很棒的例子 。
" did anybody hear that ? "	說: 「 說: 「 說: " 」 」 」
and within it , the amazement .	基本上 , 很棒 。
on some days , i could do no work .	這裡 , 我很棒 。
brownway: good morning .	克: 「 說: 「 大 。
it's not too difficult to do that .	很棒 。
how many followers have i gained ?	我很棒 ?
today's its debut .	這樣 。
and we have taken pictures like this .	我們有一件事 。
tw: show me the data .	說:我說: 「 這樣 。
thank you very much for your attention .	所以 , 你要做什麼 。
and we're going to do it .	我們要做做 。
well , wait a minute .	這樣 。
he doesn't need adam .	但 , 很棒 。
so , how did it just do that ?	所以 , 所以 , 這樣 ?
there he's starting to walk .	但 , 說 , 很棒 。
and here are the ducks again .	這樣 。
you see how this works , right ?	所以 , 你要做什麼 ?
and be clearheaded about it .	很棒 。
show me the evidence . "	說: 「 這樣 。
we thought of people as a liability .	我們要做什麼 。
he called them " partons . "	他說: 「 說: " 」 」 」 」
we actually have to do something about it .	我們要做什麼 。
and the other way is to share stories .	很棒 。
so here's the quiz .	所以 , 這樣 。
